frame,drone_count,base_speed,speed_multiplier,neighbor_distance,collisions,avg_distance
30,40,3.0,1.0,60,0,457.14
60,40,3.0,1.0,60,0,452.23
90,40,3.0,1.0,60,0,453.33
120,40,3.0,1.0,60,0,456.06
150,40,3.0,1.0,60,0,454.93
180,40,3.0,1.0,60,0,470.53
210,40,3.0,1.0,60,0,472.53
240,40,3.0,1.0,60,0,475.6
270,40,3.0,1.0,60,0,486.92
300,40,3.0,1.0,90,0,487.12
330,40,3.0,1.0,100,0,478.45
360,40,3.0,1.0,120,0,471.15
390,40,3.0,1.0,120,0,464.67
420,40,3.0,1.0,120,0,462.35
450,40,3.0,1.0,120,0,459.69
480,40,3.0,1.0,120,0,462.95
510,40,3.0,1.0,120,1,451.9
540,40,3.0,1.0,120,1,425.53
570,40,3.0,1.0,120,1,407.24
600,40,3.0,1.0,120,1,392.37
630,40,3.0,1.0,120,1,389.66
660,40,3.0,1.0,120,0,389.89
690,40,3.0,1.0,120,0,386.08
720,40,3.0,1.0,120,0,384.54
750,40,3.0,1.0,120,0,382.82
780,40,3.0,1.0,120,0,380.67
810,40,3.0,1.0,120,0,402.05
840,40,3.0,1.0,120,0,406.91
870,40,3.0,1.0,120,0,398.34
900,40,3.0,1.0,120,0,386.14
930,40,3.0,1.0,120,0,384.4
960,40,3.0,1.0,120,0,379.67
990,40,3.0,1.0,120,0,372.95
1020,40,3.0,1.0,120,0,364.84
1050,40,3.0,1.0,120,0,360.77
1080,40,3.0,1.0,120,0,358.41
1110,40,3.0,1.0,120,0,355.14
1140,40,3.0,1.0,120,0,356.43
1170,40,3.0,1.0,120,0,345.65
1200,40,3.0,1.0,120,0,344.42
1230,40,3.0,1.0,120,0,342.9
1260,40,3.0,1.0,120,0,336.4
1290,40,3.0,1.0,120,0,332.99
1320,40,3.0,1.0,120,0,330.83
1350,40,3.0,1.0,120,0,325.64
1380,40,3.0,1.0,120,0,320.57
1410,40,3.0,1.0,120,0,315.53
1440,40,3.0,1.0,120,0,306.67
1470,40,3.0,1.0,120,0,301.45
1500,40,3.0,1.0,120,0,297.6
1530,40,3.0,1.0,120,0,296.58
1560,40,3.0,1.0,120,0,295.28
1590,40,3.0,1.0,120,0,293.27
1620,40,3.0,1.0,120,0,290.35
1650,40,3.0,1.0,120,0,286.52
1680,40,3.0,1.0,120,0,286.69
1710,40,3.0,1.0,120,0,287.16
1740,40,3.0,1.0,120,0,288.01
1770,40,3.0,1.0,120,0,285.28
1800,40,3.0,1.0,120,0,278.89
1830,40,3.0,1.0,120,0,273.39
1860,40,3.0,1.0,120,0,269.37
1890,40,3.0,1.0,120,0,266.13
1920,40,3.0,1.0,120,0,264.09
1950,40,3.0,1.0,120,0,264.34
1980,40,3.0,1.0,120,0,264.26
2010,40,3.0,1.0,120,0,266.05
2040,40,3.0,1.0,120,0,264.98
2070,40,3.0,1.0,120,0,262.83
2100,40,3.0,1.0,120,0,262.74
2130,40,3.0,1.0,120,0,276.23
2160,40,3.0,1.0,120,0,292.07
2190,40,3.0,1.0,120,0,306.95
2220,40,3.0,1.0,120,0,344.5
2250,40,3.0,1.0,120,0,363.07
2280,40,3.0,1.0,120,0,367.06
2310,40,3.0,1.0,120,0,381.4
2340,40,3.0,1.0,120,0,387.81
2370,40,3.0,1.0,120,0,396.32
2400,40,3.0,1.0,120,1,390.78
2430,40,3.0,1.0,120,3,392.65
2460,40,3.0,1.0,120,2,393.08
2490,40,3.0,1.0,120,1,394.29
2520,40,3.0,1.0,120,1,397.1
2550,40,3.0,1.0,120,1,397.4
2580,40,3.0,1.0,120,1,396.59
2610,40,3.0,1.0,120,0,396.94
2640,40,3.0,1.0,120,0,397.31
2670,40,3.0,1.0,120,0,396.38
2700,40,3.0,1.0,120,0,396.67
2730,40,3.0,1.0,120,0,393.17
2760,40,3.0,1.0,120,0,386.44
2790,40,3.0,1.0,120,0,384.61
2820,40,3.0,1.0,120,0,379.5
2850,40,3.0,1.0,120,0,384.22
2880,40,3.0,1.0,120,0,397.26
2910,40,3.0,1.0,120,0,389.86
2940,40,3.0,1.0,120,0,391.67
2970,40,3.0,1.0,120,0,382.17
3000,40,3.0,1.0,120,0,384.41
3030,40,3.0,1.0,120,0,385.75
3060,40,3.0,1.0,120,0,386.5
3090,40,3.0,1.0,120,0,369.84
3120,40,3.0,1.0,120,0,309.13
3150,40,3.0,1.0,120,0,276.85
3180,40,3.0,1.0,120,0,266.62
3210,40,3.0,1.0,120,0,255.47
3240,40,3.0,1.0,120,0,245.62
3270,40,3.0,1.0,120,0,236.28
3300,40,3.0,1.0,120,0,227.44
3330,40,3.0,1.0,120,0,219.06
3360,40,3.0,1.0,120,0,214.0
3390,40,3.0,1.0,120,0,206.91
